location,route,year,month,hour,distance,direction,지점명,level,cause_L,cause_S,dead,injury,acc_cars,week,weather,day_night,pattern,pave,dir_curv,slope,surface_condition,pavment_condition,car_type,car_standard,gender,age,defeat,arrive_time,ambulance_arrive_time,people_rescue_time,towtruck_arrive_time,rescue_time,block_time,handling_time,state,damage,최초사고지점_도로시설
시흥지사,서울외곽순환,2005,8,14,20.8,일산,본선,C,운전자과실,주시태만,0,0,1,목요일,맑음,주간,차-시설,콘크리트,직선,평탄,건조,양호,승용(자가),,남자,20~30,2,30,0,0,0,0,0,30,2,326500,본선
시흥지사,서울외곽순환,2005,8,15,28,일산,본선,C,차량결함,엔진과열,0,0,1,토요일,맑음,주간,화재,콘크리트,직선,오르막 3% 미만,건조,양호,화물(소형),1톤,남자,20~30,0,12,0,0,0,0,15,40,5,2591100,본선
인천지사,서울외곽순환,2005,8,13,44,일산,서운JC(부천-인천 분기점),C,운전자과실,핸들과대조작,0,0,4,금요일,흐림,주간,추돌,아스팔트,직선,오르막 3% 미만,건조,양호,승용(JEEP),,남자,30~40,7,5,0,0,0,0,1,65,2,1277460,램프
동서울지사,서울외곽순환,2005,8,6,13.5,일산,본선,C,차량결함,엔진과열,0,0,1,토요일,흐림,주간,화재,아스팔트,우커브 500 미만,평탄,건조,양호,승합(소형),9인승,남자,40~50,0,25,0,0,0,0,15,40,5,1139600,본선
동서울지사,서울외곽순환,2005,8,3,6,일산,본선,C,운전자과실,핸들과대조작,0,0,1,목요일,비,야간,차-시설,콘크리트,직선,평탄,습기,양호,승용(JEEP),,남자,40~50,2,15,0,0,0,0,40,40,2,835900,본선
동서울지사,서울외곽순환,2005,9,23,1,일산,본선,C,운전자과실,졸음,0,0,1,화요일,맑음,야간,차-시설,콘크리트,직선,오르막 3% 미만,건조,양호,승용(JEEP),,여자,30~40,2,5,0,0,0,0,30,30,4,720000,본선
시흥지사,서울외곽순환,2005,9,9,21,일산,본선,C,운전자과실,추월불량,0,0,2,월요일,맑음,주간,차-시설,콘크리트,직선,평탄,건조,양호,승용(JEEP),,여자,40~50,3,10,0,0,0,0,35,50,2,0,본선
시흥지사,서울외곽순환,2005,9,19,31.1,일산,본선,C,기타,기타,0,1,2,화요일,비,야간,차-시설,콘크리트,직선,내리막 3% 미만,습기,양호,화물(중형),5톤,남자,,3,5,0,0,0,0,20,25,2,3171500,본선
인천지사,서울외곽순환,2005,9,6,38.2,일산,본선,C,운전자과실,과속,0,0,1,토요일,비,주간,차-시설,아스팔트,직선,내리막 3% 미만,습기,양호,승합(대형),25인승,남자,40~50,1,13,0,0,0,0,50,105,2,3717690,본선
동서울지사,서울외곽순환,2005,10,15,6.4,일산,본선,C,기타,노면잡물,0,0,1,금요일,비,주간,차-시설,아스팔트,직선,평탄,습기,양호,트레일러,11톤,남자,40~50,1,18,0,0,0,0,85,55,2,2883500,본선
인천지사,서울외곽순환,2005,10,1,37,일산,본선,C,기타,기타,0,0,1,토요일,흐림,야간,차-시설,아스팔트,우커브 500 이상,오르막 3% 미만,건조,양호,승용(자가),,남자,20~30,1,10,0,0,0,0,0,30,2,517110,본선
시흥지사,서울외곽순환,2005,10,23,19.8,일산,본선,C,운전자과실,추월불량,0,0,2,월요일,맑음,야간,충돌,콘크리트,직선,평탄,건조,양호,승용(자가),,남자,20~30,3,20,0,0,0,0,0,50,2,778200,본선
시흥지사,서울외곽순환,2005,10,14,21.1,일산,조남JC 일산방향 램프,C,운전자과실,과속,0,0,1,목요일,맑음,주간,차-시설,아스팔트,좌커브 500 미만,오르막 3% 미만,건조,양호,화물(중형),11톤,남자,40~50,1,5,0,0,0,0,75,90,4,910900,램프
시흥지사,서울외곽순환,2005,10,5,19.8,일산,본선,C,기타,보행및횡단,0,1,1,일요일,맑음,야간,차-사람,콘크리트,직선,내리막 3% 미만,건조,양호,승용(자가),,남자,30~40,2,2,0,0,0,0,18,20,2,0,본선
시흥지사,서울외곽순환,2005,10,8,21.8,일산,본선,C,운전자과실,핸들과대조작,0,0,1,금요일,비,주간,차-시설,콘크리트,우커브 500 미만,평탄,습기,양호,화물(소형),1톤,남자,40~50,1,0,0,0,0,0,0,95,2,695800,본선
인천지사,서울외곽순환,2005,10,17,38,일산,본선,C,기타,기타,0,0,2,일요일,맑음,주간,추돌,아스팔트,좌커브 500 이상,내리막 3% 미만,건조,양호,기타,,미상,,3,2,0,0,0,0,12,25,2,652400,본선
인천지사,서울외곽순환,2005,11,12,57.2,일산,일산I/C램프,C,운전자과실,기타,0,0,1,화요일,맑음,주간,단독,아스팔트,좌커브 500 이상,내리막 3% 미만,건조,양호,화물(중형),5톤,남자,40~50,1,15,0,0,0,0,90,120,4,2563800,램프
시흥지사,서울외곽순환,2005,11,2,18.2,일산,본선,C,운전자과실,음주,0,0,1,화요일,흐림,야간,차-시설,콘크리트,직선,평탄,건조,양호,승용(자가),,남자,40~50,1,10,0,0,0,0,20,20,2,1015610,본선
인천지사,서울외곽순환,2005,11,14,44.7,일산,본선,C,운전자과실,과속,0,0,1,화요일,맑음,주간,단독,아스팔트,직선,평탄,건조,양호,화물(중형),25톤,남자,40~50,2,5,0,0,0,0,50,55,2,706090,본선
시흥지사,서울외곽순환,2005,12,5,21.4,일산,본선,C,운전자과실,졸음,0,1,3,토요일,맑음,야간,추돌,콘크리트,우커브 500 이상,평탄,건조,양호,승합(소형),7인승,남자,,5,15,0,0,0,0,20,60,2,0,본선
동서울지사,서울외곽순환,2005,12,5,6.5,일산,청계,C,운전자과실,핸들과대조작,0,0,1,토요일,눈,야간,차-시설,콘크리트,직선,평탄,적설,양호,승용(자가),,남자,30~40,2,10,0,0,0,0,0,10,2,1150000,TG
시흥지사,서울외곽순환,2005,12,5,32.2,일산,시흥,C,운전자과실,음주,0,0,2,목요일,맑음,야간,추돌,아스팔트,직선,평탄,건조,양호,승용(JEEP),,남자,30~40,3,1,0,0,0,0,55,75,2,1909700,TG
시흥지사,서울외곽순환,2005,12,9,21,일산,조남JC 목포방면램프,C,운전자과실,과속,0,0,1,목요일,맑음,주간,차-시설,콘크리트,우커브 500 미만,내리막 3% 미만,건조,양호,트레일러,15톤,남자,40~50,2,5,0,0,0,0,55,85,2,505400,램프
인천지사,서울외곽순환,2005,12,5,46,일산,계양I/C,B,운전자과실,주시태만,0,2,2,목요일,맑음,주간,추돌,아스팔트,직선,평탄,건조,양호,화물(대형),15톤,남자,40~50,2,10,0,0,0,0,250,250,4,1940480,램프
동서울지사,서울외곽순환,2005,12,15,6.6,일산,청계,C,운전자과실,주시태만,0,0,1,목요일,흐림,주간,차-시설,콘크리트,직선,내리막 3% 미만,건조,양호,승용(JEEP),,남자,20~30,2,8,0,0,0,0,20,20,2,620000,TG
인천지사,서울외곽순환,2005,12,21,37.8,일산,본선,C,차량결함,엔진과열,0,0,1,금요일,흐림,야간,단독,아스팔트,직선,평탄,건조,양호,승용(JEEP),,남자,30~40,0,5,0,0,0,0,74,75,2,0,본선
동서울지사,서울외곽순환,2005,12,20,6.8,일산,청계,B,운전자과실,주시태만,0,0,2,토요일,맑음,야간,추돌,콘크리트,직선,평탄,건조,양호,승용(자가),,남자,30~40,4,0,0,0,0,0,26,26,2,0,TG
인천지사,서울외곽순환,2006,1,1,86.2,일산,중동I/C 진입램프,C,운전자과실,통행위반,0,0,2,토요일,흐림,야간,차-시설,아스팔트,직선,평탄,건조,양호,승용(JEEP),,남자,40~50,2,5,0,0,0,0,10,25,1,598000,램프
인천지사,서울외곽순환,2006,2,13,83.8,일산,서운JC램프(서울~일산),C,기타,기타,0,0,1,월요일,맑음,주간,차-시설,아스팔트,우커브 500 이상,오르막 3% 미만,건조,양호,화물(중형),5톤,남자,40~50,1,22,0,0,0,0,115,115,3,1505000,교량
인천지사,서울외곽순환,2006,2,7,76.4,일산,김포요금소,C,운전자과실,기타,0,0,1,목요일,맑음,주간,단독,콘크리트,직선,평탄,건조,양호,화물(중형),5톤,남자,40~50,2,110,0,0,0,0,0,110,1,544500,TG
인천지사,서울외곽순환,2006,2,10,84.6,일산,본선,B,운전자과실,핸들과대조작,1,0,3,일요일,맑음,주간,추돌,아스팔트,직선,평탄,건조,양호,승합(소형),7인승,남자,30~40,4,10,0,0,0,0,80,90,3,0,본선
인천지사,서울외곽순환,2006,2,0,84.8,일산,본선,C,운전자과실,핸들과대조작,0,0,1,목요일,맑음,야간,차-시설,아스팔트,직선,평탄,건조,양호,승용(자가),,남자,20~30,2,12,0,0,0,0,15,25,1,1487250,본선
인천지사,서울외곽순환,2006,4,7,77.3,일산,본선,C,운전자과실,핸들과대조작,0,0,2,화요일,맑음,주간,차-시설,아스팔트,직선,평탄,건조,양호,승용(자가),,여자,30~40,3,14,0,0,0,0,20,34,3,815250,본선
인천지사,서울외곽순환,2006,4,17,86.4,일산,중동ic진출램프,C,기타,노면잡물,0,0,1,월요일,맑음,주간,차-시설,아스팔트,직선,내리막 3% 미만,건조,양호,승용(자가),,남자,30~40,2,0,0,0,0,0,0,35,1,986000,교량
인천지사,서울외곽순환,2006,5,13,70,일산,일산IC램프(판교~일산),C,운전자과실,졸음,0,1,1,수요일,맑음,주간,차-시설,아스팔트,직선,평탄,건조,양호,화물(소형),1톤,남자,20~30,1,10,0,0,0,0,0,40,1,836000,램프
인천지사,서울외곽순환,2006,6,5,75.6,일산,일산 방면 진입램프,C,차량결함,타이어 파손,0,0,1,수요일,맑음,야간,차-시설,아스팔트,우커브 500 미만,오르막 3% 미만,건조,양호,트레일러,27톤,남자,,1,10,0,0,0,0,0,120,3,1924500,램프
인천지사,서울외곽순환,2006,7,2,93.7,일산,본선,C,운전자과실,기타,0,1,1,금요일,비,야간,단독,콘크리트,직선,내리막 3% 미만,습기,양호,승용(자가),,남자,30~40,2,20,0,0,0,0,23,45,1,2774600,본선
인천지사,서울외곽순환,2006,8,0,89.1,일산,본선,C,운전자과실,음주,0,0,1,목요일,맑음,야간,차-시설,아스팔트,직선,내리막 3% 미만,건조,양호,승용(JEEP),,남자,30~40,1,12,0,0,0,0,15,31,1,621300,본선
인천지사,서울외곽순환,2006,8,1,80.3,일산,본선,C,운전자과실,음주,0,0,1,수요일,맑음,야간,단독,아스팔트,좌커브 500 이상,평탄,건조,양호,승용(자가),,남자,20~30,1,5,0,0,0,0,17,20,1,1794000,본선
인천지사,서울외곽순환,2006,8,10,91.7,일산,본선,C,운전자과실,핸들과대조작,0,0,1,화요일,맑음,주간,차-시설,아스팔트,직선,평탄,습기,양호,승용(JEEP),,남자,50~60,2,5,0,0,0,0,0,40,1,1007000,본선
인천지사,서울외곽순환,2006,9,14,83.2,일산,본선,C,운전자과실,핸들과대조작,0,0,2,수요일,맑음,주간,접촉,아스팔트,직선,평탄,건조,양호,화물(소형),1톤,남자,40~50,3,6,0,0,0,0,34,40,3,653760,본선
인천지사,서울외곽순환,2006,10,20,76,일산,김포톨게이트,C,운전자과실,주시태만,0,0,1,일요일,맑음,야간,단독,콘크리트,직선,평탄,건조,양호,승용(JEEP),,남자,40~50,2,5,0,0,0,0,25,25,1,2420000,TG
인천지사,서울외곽순환,2006,10,7,91.2,일산,본선,C,차량결함,타이어 파손,0,0,1,수요일,흐림,주간,차-시설,콘크리트,우커브 500 이상,오르막 3% 미만,건조,양호,화물(소형),1톤,남자,40~50,1,4,0,0,0,0,45,46,3,800000,본선
인천지사,서울외곽순환,2006,10,9,70,일산,일산IC진출부,C,운전자과실,기타,0,0,1,일요일,안개,주간,차-시설,아스팔트,좌커브 500 이상,내리막 3% 미만,건조,양호,승용(자가),,여자,30~40,2,8,0,0,0,0,0,35,1,570000,램프
인천지사,서울외곽순환,2006,11,4,77.5,일산,본선,C,운전자과실,졸음,0,0,2,목요일,맑음,야간,추돌,아스팔트,직선,평탄,건조,양호,화물(중형),3.5톤,남자,30~40,2,10,0,0,0,0,0,380,1,684760,본선
인천지사,서울외곽순환,2006,11,19,73.6,일산,본선,C,운전자과실,핸들과대조작,0,0,2,일요일,맑음,야간,추돌,아스팔트,직선,평탄,건조,양호,승용(자가),,여자,20~30,2,8,0,0,0,0,30,35,5,1543100,본선
인천지사,서울외곽순환,2006,11,23,82.2,일산,계양IC,C,운전자과실,과속,0,0,1,월요일,맑음,야간,차-시설,아스팔트,좌커브 500 미만,내리막 3% 이상,건조,양호,승용(JEEP),,남자,40~50,1,5,0,0,0,0,15,20,1,1052000,램프
인천지사,서울외곽순환,2006,12,19,79.6,일산,본선,B,운전자과실,주시태만,1,0,3,월요일,맑음,야간,차-사람,아스팔트,우커브 500 미만,평탄,건조,양호,화물(소형),1톤,남자,30~40,4,3,0,0,0,0,40,50,1,0,본선
동서울지사,서울외곽순환,2006,5,23,117,일산,본선,C,운전자과실,안전거리미확보,0,1,2,월요일,맑음,야간,차-시설,아스팔트,직선,내리막 3% 미만,건조,양호,화물(소형),1톤,남자,40~50,3,0,0,0,0,0,55,55,3,321400,본선
동서울지사,서울외곽순환,2006,8,13,121.4,일산,청계영업소,C,운전자과실,주시태만,0,0,1,화요일,맑음,주간,차-시설,아스팔트,직선,평탄,건조,양호,특수차량,,남자,30~40,2,8,0,0,0,0,5,8,1,414000,TG
