location,route,direction,distance,level,year,month,week,day_night,hour,weather,age,gender,cause_L,cause_S,pattern,pave,dir_curv,slope,surface_condition,pavment_condition,car_type,car_standard,최초사고지점_도로시설,지점명,dead,injury,acc_cars,defeat,state,arrive_time,ambulance_arrive_time,people_rescue_time,towtruck_arrive_time,rescue_time,block_time,handling_time,damage,danger_point
동서울지사,서울외곽순환,일산,6,C,2005,8,목요일,야간,3,비,40,남자,운전자과실,핸들과대조작,차-시설,콘크리트,직선,평탄,습기,양호,승용(JEEP),,본선,본선,0,0,1,2,2,15,0,0,0,0,40,40,835900,85
동서울지사,서울외곽순환,일산,1,C,2005,9,화요일,야간,23,맑음,30,여자,운전자과실,졸음,차-시설,콘크리트,직선,오르막 3% 미만,건조,양호,승용(JEEP),,본선,본선,0,0,1,2,4,5,0,0,0,0,30,30,720000,115
시흥지사,서울외곽순환,일산,21,C,2005,9,월요일,주간,9,맑음,40,여자,운전자과실,추월불량,차-시설,콘크리트,직선,평탄,건조,양호,승용(JEEP),,본선,본선,0,0,2,3,2,10,0,0,0,0,35,50,0,125
시흥지사,서울외곽순환,일산,31.1,C,2005,9,화요일,야간,19,비,0,남자,기타,기타,차-시설,콘크리트,직선,내리막 3% 미만,습기,양호,화물(중형),5톤,본선,본선,0,1,2,3,2,5,0,0,0,0,20,25,3171500,155
인천지사,서울외곽순환,일산,38.2,C,2005,9,토요일,주간,6,비,40,남자,운전자과실,과속,차-시설,아스팔트,직선,내리막 3% 미만,습기,양호,승합(대형),25인승,본선,본선,0,0,1,1,2,13,0,0,0,0,50,105,3717690,70
동서울지사,서울외곽순환,일산,6.4,C,2005,10,금요일,주간,15,비,40,남자,기타,노면잡물,차-시설,아스팔트,직선,평탄,습기,양호,트레일러,11톤,본선,본선,0,0,1,1,2,18,0,0,0,0,85,55,2883500,70
인천지사,서울외곽순환,일산,37,C,2005,10,토요일,야간,1,흐림,20,남자,기타,기타,차-시설,아스팔트,우커브 500 이상,오르막 3% 미만,건조,양호,승용(자가),,본선,본선,0,0,1,1,2,10,0,0,0,0,0,30,517110,70
시흥지사,서울외곽순환,일산,19.8,C,2005,10,월요일,야간,23,맑음,20,남자,운전자과실,추월불량,충돌,콘크리트,직선,평탄,건조,양호,승용(자가),,본선,본선,0,0,2,3,2,20,0,0,0,0,0,50,778200,125
시흥지사,서울외곽순환,일산,21.1,C,2005,10,목요일,주간,14,맑음,40,남자,운전자과실,과속,차-시설,아스팔트,좌커브 500 미만,오르막 3% 미만,건조,양호,화물(중형),11톤,램프,조남JC 일산방향 램프,0,0,1,1,4,5,0,0,0,0,75,90,910900,100
시흥지사,서울외곽순환,일산,19.8,C,2005,10,일요일,야간,5,맑음,30,남자,기타,보행및횡단,차-사람,콘크리트,직선,내리막 3% 미만,건조,양호,승용(자가),,본선,본선,0,1,1,2,2,2,0,0,0,0,18,20,0,115
